,0
253,NORMAL
254,CNV
255,CNV
256,DRUSEN
257,NORMAL
258,DRUSEN
259,NORMAL
260,DRUSEN
261,DME
262,CNV
263,CNV
264,NORMAL
265,NORMAL
266,NORMAL
267,CNV
268,DRUSEN
269,DRUSEN
270,NORMAL
271,NORMAL
272,DRUSEN
273,NORMAL
274,DRUSEN
275,NORMAL
276,NORMAL
277,DME
278,NORMAL
279,DME
280,NORMAL
281,DRUSEN
282,NORMAL
283,NORMAL
284,CNV
285,NORMAL
286,NORMAL
287,DRUSEN
288,NORMAL
289,DRUSEN
290,NORMAL
291,CNV
292,DME
293,NORMAL
294,DRUSEN
295,DME
296,DME
297,NORMAL
298,NORMAL
299,DRUSEN
300,DRUSEN
301,DRUSEN
302,DME
303,DRUSEN
304,NORMAL
305,CNV
306,CNV
307,NORMAL
308,DRUSEN
309,CNV
310,DRUSEN
311,DRUSEN
312,DRUSEN
313,CNV
314,NORMAL
315,CNV
316,NORMAL
317,DME
318,DRUSEN
319,NORMAL
320,NORMAL
321,CNV
322,DRUSEN
323,NORMAL
324,NORMAL
325,NORMAL
326,DRUSEN
327,NORMAL
328,NORMAL
329,CNV
330,CNV
331,CNV
332,NORMAL
333,DRUSEN
334,NORMAL
335,NORMAL
336,CNV
337,DRUSEN
338,NORMAL
339,DME
340,CNV
341,NORMAL
342,DRUSEN
343,DRUSEN
344,NORMAL
345,DRUSEN
346,CNV
347,NORMAL
348,DRUSEN
349,NORMAL
350,DRUSEN
351,NORMAL
352,DRUSEN
353,NORMAL
354,DRUSEN
355,CNV
356,NORMAL
357,CNV
358,DRUSEN
359,DRUSEN
360,CNV
361,DRUSEN
362,NORMAL
363,DRUSEN
364,DRUSEN
365,CNV
366,CNV
367,NORMAL
368,DRUSEN
369,DRUSEN
370,CNV
371,NORMAL
372,DRUSEN
373,CNV
374,CNV
375,DRUSEN
376,CNV
377,NORMAL
378,NORMAL
379,CNV
380,DRUSEN
381,CNV
382,DME
383,DRUSEN
384,CNV
385,DRUSEN
386,CNV
387,CNV
388,DME
389,NORMAL
390,CNV
391,DRUSEN
392,DME
393,CNV
394,CNV
395,DRUSEN
396,NORMAL
397,CNV
398,CNV
399,NORMAL
400,DRUSEN
401,CNV
402,NORMAL
403,DME
404,CNV
405,DRUSEN
406,CNV
407,DME
408,NORMAL
409,NORMAL
410,NORMAL
411,NORMAL
412,DME
413,DRUSEN
414,DRUSEN
415,CNV
416,CNV
417,DME
418,CNV
419,NORMAL
420,CNV
421,DRUSEN
422,NORMAL
423,DRUSEN
424,CNV
425,NORMAL
426,NORMAL
427,NORMAL
428,DRUSEN
429,CNV
430,NORMAL
431,NORMAL
432,DRUSEN
433,NORMAL
434,CNV
435,NORMAL
436,CNV
437,CNV
438,NORMAL
439,CNV
440,CNV
441,NORMAL
442,CNV
443,CNV
444,CNV
445,DRUSEN
446,NORMAL
447,DRUSEN
448,CNV
449,DRUSEN
450,NORMAL
451,NORMAL
452,NORMAL
453,DRUSEN
454,NORMAL
455,CNV
456,NORMAL
457,NORMAL
458,DRUSEN
459,DRUSEN
460,DRUSEN
461,DME
462,NORMAL
463,DME
464,DME
465,CNV
466,NORMAL
467,DRUSEN
468,NORMAL
469,CNV
470,NORMAL
471,NORMAL
472,CNV
473,NORMAL
474,DRUSEN
475,CNV
476,CNV
477,DRUSEN
478,DRUSEN
479,NORMAL
480,NORMAL
481,DME
482,DME
483,CNV
484,CNV
485,CNV
486,DRUSEN
487,NORMAL
488,CNV
489,NORMAL
490,NORMAL
491,DRUSEN
492,DME
493,DRUSEN
494,DRUSEN
495,DME
496,DME
497,CNV
498,DRUSEN
499,DRUSEN
500,CNV
501,DME
502,DRUSEN
503,DME
504,DRUSEN
505,CNV
506,DME
507,CNV
508,CNV
509,NORMAL
510,CNV
511,DRUSEN
512,NORMAL
513,NORMAL
514,DRUSEN
515,NORMAL
516,NORMAL
517,CNV
518,NORMAL
519,DME
520,NORMAL
521,DRUSEN
522,NORMAL
523,NORMAL
524,CNV
525,NORMAL
526,NORMAL
527,CNV
528,NORMAL
529,DRUSEN
530,DRUSEN
531,NORMAL
532,NORMAL
533,CNV
534,DRUSEN
535,NORMAL
536,CNV
537,DRUSEN
538,NORMAL
539,NORMAL
540,NORMAL
541,DME
542,CNV
543,CNV
544,CNV
545,NORMAL
546,DRUSEN
547,NORMAL
548,DRUSEN
549,CNV
550,NORMAL
551,CNV
552,CNV
553,NORMAL
554,NORMAL
555,CNV
556,CNV
557,CNV
558,NORMAL
559,CNV
560,CNV
561,CNV
562,CNV
563,CNV
564,DRUSEN
565,DRUSEN
566,DRUSEN
567,NORMAL
568,NORMAL
569,CNV
570,CNV
571,NORMAL
572,DRUSEN
573,NORMAL
574,NORMAL
575,NORMAL
576,DRUSEN
577,NORMAL
578,NORMAL
579,NORMAL
580,NORMAL
581,DRUSEN
582,NORMAL
583,DRUSEN
584,CNV
585,NORMAL
586,CNV
587,DME
588,NORMAL
589,CNV
590,DRUSEN
591,NORMAL
592,CNV
593,NORMAL
594,DRUSEN
595,DRUSEN
596,DRUSEN
597,CNV
598,CNV
599,DRUSEN
600,CNV
601,DRUSEN
602,NORMAL
603,NORMAL
604,DRUSEN
605,CNV
606,NORMAL
607,CNV
608,CNV
609,CNV
610,DRUSEN
611,NORMAL
612,NORMAL
613,DRUSEN
614,CNV
615,NORMAL
616,NORMAL
617,NORMAL
618,CNV
619,NORMAL
620,DRUSEN
621,CNV
622,DME
623,DRUSEN
624,DME
625,NORMAL
626,NORMAL
627,DRUSEN
628,DRUSEN
629,CNV
630,NORMAL
631,DME
632,NORMAL
633,CNV
634,NORMAL
635,CNV
636,DRUSEN
637,NORMAL
638,CNV
639,DRUSEN
640,NORMAL
641,NORMAL
642,DRUSEN
643,NORMAL
644,NORMAL
645,CNV
646,DRUSEN
647,DME
648,NORMAL
649,DRUSEN
650,CNV
651,NORMAL
652,NORMAL
653,CNV
654,CNV
655,DME
656,NORMAL
657,NORMAL
658,DRUSEN
659,CNV
660,CNV
661,CNV
662,NORMAL
663,NORMAL
664,DRUSEN
665,DME
666,CNV
667,DRUSEN
668,CNV
669,NORMAL
670,CNV
671,NORMAL
672,DRUSEN
673,DRUSEN
674,DRUSEN
675,NORMAL
676,NORMAL
677,CNV
678,DRUSEN
679,DRUSEN
680,CNV
681,DRUSEN
682,DRUSEN
683,CNV
684,NORMAL
685,NORMAL
686,NORMAL
687,NORMAL
688,NORMAL
689,CNV
690,NORMAL
691,CNV
692,CNV
693,CNV
694,CNV
695,NORMAL
696,CNV
697,CNV
698,NORMAL
699,DRUSEN
700,DME
701,CNV
702,DRUSEN
703,CNV
704,NORMAL
705,NORMAL
706,CNV
707,DRUSEN
708,CNV
709,CNV
710,DRUSEN
711,DRUSEN
712,CNV
713,CNV
714,DRUSEN
715,NORMAL
716,CNV
717,CNV
718,CNV
719,NORMAL
720,NORMAL
721,NORMAL
722,CNV
723,DRUSEN
724,CNV
725,NORMAL
726,CNV
727,NORMAL
728,NORMAL
729,DME
730,CNV
731,NORMAL
732,CNV
733,DRUSEN
734,NORMAL
735,CNV
736,CNV
737,CNV
738,CNV
739,CNV
740,DRUSEN
741,DME
742,DRUSEN
743,DRUSEN
744,DRUSEN
745,CNV
746,CNV
747,CNV
748,NORMAL
749,NORMAL
750,DRUSEN
751,DRUSEN
752,NORMAL
753,DRUSEN
754,DME
755,NORMAL
756,DRUSEN
757,NORMAL
758,NORMAL
759,NORMAL
760,CNV
761,CNV
762,DRUSEN
763,CNV
764,CNV
765,NORMAL
766,NORMAL
767,NORMAL
768,NORMAL
769,NORMAL
770,CNV
771,CNV
772,NORMAL
773,CNV
774,CNV
775,DRUSEN
776,CNV
777,DRUSEN
778,NORMAL
779,NORMAL
780,DRUSEN
781,NORMAL
782,DRUSEN
783,NORMAL
784,NORMAL
785,NORMAL
786,CNV
787,DRUSEN
788,CNV
789,CNV
790,CNV
791,CNV
792,NORMAL
793,DME
794,NORMAL
795,CNV
796,DRUSEN
797,DRUSEN
798,NORMAL
799,DRUSEN
800,CNV
801,DRUSEN
802,NORMAL
803,CNV
804,NORMAL
805,CNV
806,DRUSEN
807,DRUSEN
808,DRUSEN
809,NORMAL
810,DRUSEN
811,DRUSEN
812,CNV
813,DME
814,NORMAL
815,DME
816,NORMAL
817,DRUSEN
818,CNV
819,DRUSEN
820,NORMAL
821,NORMAL
822,NORMAL
823,DME
824,CNV
825,DRUSEN
826,NORMAL
827,DRUSEN
828,DRUSEN
829,DRUSEN
830,NORMAL
831,DME
832,CNV
833,NORMAL
834,NORMAL
835,NORMAL
836,DRUSEN
837,NORMAL
838,CNV
839,DRUSEN
840,DRUSEN
841,NORMAL
842,DRUSEN
843,NORMAL
844,DRUSEN
845,NORMAL
846,NORMAL
847,CNV
848,CNV
849,NORMAL
850,NORMAL
851,DRUSEN
852,NORMAL
853,NORMAL
854,CNV
855,DRUSEN
856,CNV
857,NORMAL
858,DRUSEN
859,DME
860,CNV
861,CNV
862,CNV
863,DRUSEN
864,NORMAL
865,NORMAL
866,CNV
867,NORMAL
868,CNV
869,DME
870,NORMAL
871,DRUSEN
872,CNV
873,DRUSEN
874,NORMAL
875,DRUSEN
876,NORMAL
877,DRUSEN
878,DRUSEN
879,CNV
880,DRUSEN
881,NORMAL
882,CNV
883,DRUSEN
884,DRUSEN
885,NORMAL
886,NORMAL
887,NORMAL
888,NORMAL
889,DRUSEN
890,DRUSEN
891,NORMAL
892,NORMAL
893,CNV
894,DRUSEN
895,NORMAL
896,DRUSEN
897,DRUSEN
898,CNV
899,NORMAL
900,CNV
901,NORMAL
902,CNV
903,DRUSEN
904,DRUSEN
905,CNV
906,NORMAL
907,CNV
908,NORMAL
909,CNV
910,CNV
911,DRUSEN
912,NORMAL
913,DME
914,CNV
915,DRUSEN
916,NORMAL
917,NORMAL
918,DRUSEN
919,DRUSEN
920,NORMAL
921,NORMAL
922,NORMAL
923,CNV
924,DRUSEN
925,CNV
926,NORMAL
927,DRUSEN
928,NORMAL
929,DRUSEN
930,CNV
931,NORMAL
932,CNV
933,DRUSEN
934,NORMAL
935,DME
936,DRUSEN
937,NORMAL
938,DRUSEN
939,CNV
940,DRUSEN
941,NORMAL
942,NORMAL
943,CNV
944,DRUSEN
945,NORMAL
946,NORMAL
947,CNV
948,CNV
949,NORMAL
950,DRUSEN
951,DRUSEN
952,DRUSEN
953,NORMAL
954,CNV
955,NORMAL
956,CNV
957,DRUSEN
958,DME
959,CNV
960,DRUSEN
961,DRUSEN
962,CNV
963,NORMAL
964,DRUSEN
965,NORMAL
966,DME
967,NORMAL
968,NORMAL
969,CNV
970,NORMAL
971,DME
972,CNV
973,CNV
974,NORMAL
975,NORMAL
976,CNV
977,DRUSEN
978,DRUSEN
979,NORMAL
980,NORMAL
981,NORMAL
982,NORMAL
983,DRUSEN
984,CNV
985,CNV
986,DRUSEN
987,CNV
988,NORMAL
989,DME
990,DME
991,CNV
992,NORMAL
993,NORMAL
994,NORMAL
995,CNV
996,DRUSEN
997,NORMAL
998,DRUSEN
999,CNV
1000,NORMAL
1001,DRUSEN
1002,CNV
1003,NORMAL
1004,CNV
1005,CNV
1006,CNV
1007,NORMAL
1008,CNV
1009,DRUSEN
1010,CNV
1011,CNV
1012,NORMAL
1013,CNV
1014,CNV
1015,DRUSEN
1016,DRUSEN
1017,NORMAL
1018,DRUSEN
1019,DRUSEN
1020,NORMAL
1021,NORMAL
1022,CNV
1023,DRUSEN
1024,NORMAL
1025,NORMAL
1026,DME
1027,DRUSEN
1028,NORMAL
1029,DME
1030,NORMAL
1031,NORMAL
1032,DRUSEN
1033,NORMAL
1034,NORMAL
1035,DME
1036,CNV
1037,NORMAL
1038,CNV
1039,NORMAL
1040,DRUSEN
1041,DRUSEN
1042,CNV
1043,CNV
1044,CNV
1045,DME
1046,CNV
1047,CNV
1048,DRUSEN
1049,NORMAL
1050,NORMAL
1051,CNV
1052,CNV
1053,NORMAL
1054,NORMAL
1055,CNV
1056,NORMAL
1057,CNV
1058,NORMAL
1059,DRUSEN
1060,DME
1061,CNV
1062,NORMAL
1063,CNV
1064,CNV
1065,DRUSEN
1066,NORMAL
1067,CNV
1068,NORMAL
1069,CNV
1070,NORMAL
1071,CNV
1072,DRUSEN
1073,CNV
1074,CNV
1075,NORMAL
1076,DRUSEN
1077,NORMAL
1078,DRUSEN
1079,DRUSEN
1080,CNV
1081,DRUSEN
1082,CNV
1083,NORMAL
1084,DRUSEN
1085,DME
1086,DRUSEN
1087,CNV
1088,DRUSEN
1089,NORMAL
1090,CNV
1091,CNV
1092,CNV
1093,NORMAL
1094,NORMAL
1095,DRUSEN
1096,DRUSEN
1097,NORMAL
1098,DRUSEN
1099,NORMAL
1100,NORMAL
1101,CNV
1102,NORMAL
1103,NORMAL
1104,CNV
1105,CNV
1106,NORMAL
1107,DRUSEN
1108,CNV
1109,CNV
1110,NORMAL
1111,DRUSEN
1112,DME
1113,DRUSEN
1114,CNV
1115,CNV
1116,NORMAL
1117,NORMAL
1118,NORMAL
1119,DME
1120,CNV
1121,CNV
1122,NORMAL
1123,NORMAL
1124,CNV
1125,DRUSEN
1126,DRUSEN
1127,NORMAL
1128,NORMAL
1129,CNV
1130,NORMAL
1131,DRUSEN
1132,DRUSEN
1133,NORMAL
1134,DRUSEN
1135,CNV
1136,NORMAL
1137,CNV
1138,NORMAL
1139,DME
1140,CNV
1141,NORMAL
1142,CNV
1143,DRUSEN
1144,NORMAL
1145,NORMAL
1146,DRUSEN
1147,CNV
1148,DME
1149,CNV
1150,CNV
1151,DRUSEN
1152,NORMAL
1153,NORMAL
1154,CNV
1155,CNV
1156,NORMAL
1157,NORMAL
1158,DME
1159,NORMAL
1160,NORMAL
1161,CNV
1162,NORMAL
1163,NORMAL
1164,CNV
1165,DME
1166,NORMAL
1167,CNV
1168,NORMAL
1169,DRUSEN
1170,NORMAL
1171,CNV
1172,CNV
1173,DME
1174,DRUSEN
1175,CNV
1176,CNV
1177,NORMAL
1178,CNV
1179,DME
1180,DRUSEN
1181,NORMAL
1182,CNV
1183,CNV
1184,CNV
1185,DRUSEN
1186,CNV
1187,CNV
1188,CNV
1189,CNV
1190,CNV
1191,CNV
1192,CNV
1193,NORMAL
1194,DME
1195,CNV
1196,DRUSEN
1197,NORMAL
1198,CNV
1199,NORMAL
1200,DRUSEN
1201,NORMAL
1202,NORMAL
1203,NORMAL
1204,CNV
1205,DRUSEN
1206,NORMAL
1207,CNV
1208,DME
1209,DRUSEN
1210,CNV
1211,DRUSEN
1212,CNV
1213,DRUSEN
1214,DRUSEN
1215,DRUSEN
1216,DRUSEN
1217,DRUSEN
1218,DRUSEN
1219,DRUSEN
1220,CNV
1221,DRUSEN
1222,NORMAL
1223,CNV
1224,CNV
1225,CNV
1226,NORMAL
1227,DRUSEN
1228,DRUSEN
1229,DRUSEN
1230,DRUSEN
1231,NORMAL
1232,NORMAL
1233,DRUSEN
1234,DRUSEN
1235,CNV
1236,DRUSEN
1237,CNV
1238,CNV
1239,NORMAL
1240,CNV
1241,CNV
1242,CNV
1243,CNV
1244,DRUSEN
1245,DRUSEN
1246,DRUSEN
1247,DME
1248,NORMAL
1249,DRUSEN
1250,NORMAL
1251,CNV
1252,NORMAL
1253,DRUSEN
1254,DME
1255,NORMAL
1256,NORMAL
1257,NORMAL
1258,DME
1259,CNV
1260,NORMAL
1261,NORMAL
1262,DRUSEN
1263,CNV
1264,CNV
1265,NORMAL
1266,NORMAL
1267,NORMAL
1268,DME
1269,DME
1270,CNV
1271,CNV
1272,NORMAL
1273,CNV
1274,NORMAL
1275,DRUSEN
1276,CNV
1277,CNV
1278,DME
1279,CNV
1280,CNV
1281,DRUSEN
1282,NORMAL
1283,NORMAL
1284,DRUSEN
1285,CNV
1286,NORMAL
1287,NORMAL
1288,CNV
1289,DRUSEN
1290,DME
1291,CNV
1292,NORMAL
1293,CNV
1294,CNV
1295,NORMAL
1296,DME
1297,DRUSEN
1298,CNV
1299,DRUSEN
1300,DME
1301,CNV
1302,DRUSEN
1303,NORMAL
1304,NORMAL
1305,CNV
1306,DME
1307,CNV
1308,DRUSEN
1309,DRUSEN
1310,NORMAL
1311,CNV
1312,DRUSEN
1313,CNV
1314,DRUSEN
1315,CNV
1316,NORMAL
1317,DRUSEN
1318,DRUSEN
1319,DRUSEN
1320,NORMAL
1321,NORMAL
1322,DRUSEN
1323,DME
1324,NORMAL
1325,DME
1326,CNV
1327,CNV
1328,NORMAL
1329,NORMAL
1330,CNV
1331,NORMAL
1332,NORMAL
1333,NORMAL
1334,DRUSEN
1335,NORMAL
1336,NORMAL
1337,DRUSEN
1338,CNV
1339,DME
1340,CNV
1341,NORMAL
1342,NORMAL
1343,CNV
1344,DRUSEN
1345,NORMAL
1346,DRUSEN
1347,NORMAL
1348,CNV
1349,NORMAL
1350,CNV
1351,CNV
1352,DRUSEN
1353,NORMAL
1354,CNV
1355,CNV
1356,NORMAL
1357,DME
1358,DME
1359,NORMAL
1360,DRUSEN
1361,DME
1362,DRUSEN
1363,DRUSEN
1364,CNV
1365,CNV
1366,DRUSEN
1367,DME
1368,NORMAL
1369,DRUSEN
1370,NORMAL
1371,NORMAL
1372,NORMAL
1373,CNV
1374,NORMAL
1375,NORMAL
1376,CNV
1377,NORMAL
1378,NORMAL
1379,NORMAL
1380,NORMAL
1381,NORMAL
1382,NORMAL
1383,DRUSEN
1384,NORMAL
1385,CNV
1386,CNV
1387,DRUSEN
1388,DRUSEN
1389,CNV
1390,NORMAL
1391,DME
1392,CNV
1393,CNV
1394,NORMAL
1395,DRUSEN
1396,DRUSEN
1397,DRUSEN
1398,DRUSEN
1399,CNV
1400,DRUSEN
1401,DME
1402,NORMAL
1403,NORMAL
1404,CNV
1405,CNV
1406,NORMAL
1407,DRUSEN
1408,CNV
1409,CNV
1410,CNV
1411,CNV
1412,CNV
1413,CNV
1414,DRUSEN
1415,NORMAL
1416,DRUSEN
1417,DRUSEN
1418,NORMAL
1419,NORMAL
1420,NORMAL
1421,CNV
1422,CNV
1423,NORMAL
1424,NORMAL
1425,NORMAL
1426,DRUSEN
1427,NORMAL
1428,DME
1429,CNV
1430,CNV
1431,DME
1432,NORMAL
1433,NORMAL
1434,CNV
1435,DRUSEN
1436,CNV
1437,CNV
1438,DME
1439,DME
1440,NORMAL
1441,NORMAL
1442,DRUSEN
1443,DRUSEN
1444,CNV
1445,NORMAL
1446,DRUSEN
1447,NORMAL
1448,CNV
1449,DRUSEN
1450,DRUSEN
1451,NORMAL
1452,DRUSEN
1453,NORMAL
1454,CNV
1455,NORMAL
1456,CNV
1457,CNV
1458,NORMAL
1459,CNV
1460,CNV
1461,CNV
1462,DRUSEN
1463,DRUSEN
1464,CNV
1465,NORMAL
1466,CNV
1467,CNV
1468,DME
1469,DME
1470,CNV
1471,NORMAL
1472,DRUSEN
1473,DRUSEN
1474,NORMAL
1475,CNV
1476,DRUSEN
1477,NORMAL
1478,CNV
1479,CNV
1480,CNV
1481,DRUSEN
1482,CNV
1483,CNV
1484,CNV
1485,CNV
1486,DRUSEN
1487,CNV
1488,NORMAL
1489,CNV
1490,DRUSEN
1491,NORMAL
1492,CNV
1493,NORMAL
1494,DRUSEN
1495,DRUSEN
1496,CNV
1497,NORMAL
1498,NORMAL
1499,NORMAL
1500,DRUSEN
1501,NORMAL
1502,DME
1503,DME
1504,DRUSEN
1505,DRUSEN
1506,NORMAL
1507,NORMAL
1508,DRUSEN
1509,CNV
1510,DRUSEN
1511,CNV
1512,DRUSEN
1513,NORMAL
1514,NORMAL
1515,NORMAL
1516,CNV
1517,DRUSEN
1518,NORMAL
1519,NORMAL
1520,NORMAL
1521,DRUSEN
1522,NORMAL
1523,CNV
1524,DRUSEN
1525,NORMAL
1526,CNV
1527,CNV
1528,CNV
1529,DRUSEN
1530,NORMAL
1531,CNV
1532,CNV
1533,CNV
1534,DRUSEN
1535,NORMAL
1536,DME
1537,NORMAL
1538,NORMAL
1539,DRUSEN
1540,NORMAL
1541,CNV
1542,DRUSEN
1543,DRUSEN
1544,CNV
1545,DRUSEN
1546,CNV
1547,NORMAL
1548,CNV
1549,DRUSEN
1550,NORMAL
1551,CNV
1552,CNV
1553,NORMAL
1554,NORMAL
1555,DME
1556,NORMAL
1557,NORMAL
1558,DRUSEN
1559,CNV
1560,NORMAL
1561,CNV
1562,DME
1563,NORMAL
1564,NORMAL
1565,NORMAL
1566,DRUSEN
1567,CNV
1568,CNV
1569,DRUSEN
1570,DME
1571,DRUSEN
1572,NORMAL
1573,NORMAL
1574,DRUSEN
1575,DRUSEN
1576,NORMAL
1577,DRUSEN
1578,CNV
1579,NORMAL
1580,NORMAL
1581,DRUSEN
1582,NORMAL
1583,CNV
1584,CNV
1585,CNV
1586,CNV
1587,DRUSEN
1588,DME
1589,DME
1590,CNV
1591,NORMAL
1592,CNV
1593,NORMAL
1594,NORMAL
1595,CNV
1596,NORMAL
1597,NORMAL
1598,CNV
1599,DRUSEN
1600,DME
1601,NORMAL
1602,DME
1603,DME
1604,NORMAL
1605,DRUSEN
1606,NORMAL
1607,CNV
1608,NORMAL
1609,DME
1610,DRUSEN
1611,DME
1612,NORMAL
1613,DRUSEN
1614,NORMAL
1615,CNV
1616,DRUSEN
1617,NORMAL
1618,DRUSEN
1619,DRUSEN
1620,NORMAL
1621,CNV
1622,CNV
1623,DRUSEN
1624,CNV
1625,NORMAL
1626,CNV
1627,DME
1628,DRUSEN
1629,CNV
1630,NORMAL
1631,DME
1632,DRUSEN
1633,CNV
1634,CNV
1635,NORMAL
1636,DRUSEN
1637,DRUSEN
1638,CNV
1639,CNV
1640,DRUSEN
1641,NORMAL
1642,DRUSEN
1643,NORMAL
1644,NORMAL
1645,CNV
1646,NORMAL
1647,DRUSEN
1648,NORMAL
1649,CNV
1650,NORMAL
1651,CNV
1652,NORMAL
1653,CNV
1654,DRUSEN
1655,NORMAL
1656,NORMAL
1657,DRUSEN
1658,CNV
1659,CNV
1660,DRUSEN
1661,CNV
1662,NORMAL
1663,DRUSEN
1664,DME
1665,CNV
1666,DRUSEN
1667,NORMAL
1668,CNV
1669,DRUSEN
1670,CNV
1671,DME
1672,DRUSEN
1673,DME
1674,DRUSEN
1675,NORMAL
1676,DRUSEN
1677,NORMAL
1678,CNV
1679,NORMAL
1680,NORMAL
1681,CNV
1682,CNV
1683,DRUSEN
1684,NORMAL
1685,CNV
1686,NORMAL
1687,CNV
1688,CNV
1689,NORMAL
1690,NORMAL
1691,CNV
1692,CNV
1693,DME
1694,NORMAL
1695,DRUSEN
1696,DRUSEN
1697,DME
1698,NORMAL
1699,CNV
1700,NORMAL
1701,DME
1702,DRUSEN
1703,DRUSEN
1704,CNV
1705,NORMAL
1706,DME
1707,NORMAL
1708,CNV
1709,DRUSEN
1710,NORMAL
1711,NORMAL
1712,CNV
1713,DRUSEN
1714,NORMAL
1715,DRUSEN
1716,CNV
1717,CNV
1718,DRUSEN
1719,CNV
1720,NORMAL
1721,DRUSEN
1722,DRUSEN
1723,DRUSEN
1724,NORMAL
1725,DME
1726,NORMAL
1727,NORMAL
1728,NORMAL
1729,NORMAL
1730,DRUSEN
1731,CNV
1732,CNV
1733,DME
1734,CNV
1735,DME
1736,NORMAL
1737,CNV
1738,NORMAL
1739,CNV
1740,CNV
1741,DRUSEN
1742,NORMAL
1743,CNV
1744,NORMAL
1745,NORMAL
1746,CNV
1747,DRUSEN
1748,NORMAL
1749,NORMAL
1750,CNV
1751,NORMAL
1752,CNV
1753,DRUSEN
1754,CNV
1755,DRUSEN
1756,DRUSEN
1757,NORMAL
1758,NORMAL
1759,CNV
1760,DRUSEN
1761,NORMAL
1762,DRUSEN
1763,DRUSEN
1764,CNV
1765,CNV
1766,NORMAL
1767,NORMAL
1768,CNV
1769,CNV
1770,DRUSEN
1771,DME
1772,DME
1773,CNV
1774,CNV
1775,DRUSEN
1776,CNV
1777,CNV
1778,CNV
1779,DRUSEN
1780,DRUSEN
1781,CNV
1782,DRUSEN
1783,CNV
